sample	r_nnls	r_simplex	l1	l2
Druze5	0.00162460195964104	0.00223315029978031	0.000827345094245962	0.000525270883741227
Druze6	0.00156964265870576	0.00216247339229925	0.00126576593829787	0.000811165405367541
Druze7	0.00108951913761199	0.00158386029134357	0.00165672853749088	0.00117148398344507
Druze8	0.00244870853594771	0.00317877848306324	0.00128310693360497	0.000803745833887319
Druze9	0.00130711325303468	0.00185354298183237	0.0010615804552702	0.000680229698127037
Druze10	0.00174058519877988	0.00236452006689018	0.0008123582500793	0.00050644766552449
Druze11	0.00246137769918667	0.00319622979040287	0.00154111764844777	0.000986084861114652
Druze12	0.00136920188533455	0.00192636219232162	0.00135652212038474	0.000866764052677774
Druze13	0.000551184064281631	0.000924822672626725	0.00131841478758671	0.000841257360975697
Druze14	0.00252369964539289	0.00326864567541161	0.00165383161100539	0.00106068717912885
Druze15	0.00147989324678964	0.00205223453960388	0.00138157564227342	0.000867076922455471
Druze16	0.000796877437619316	0.00123770251870474	0.0011908286777091	0.000745473355961326
Druze17	0.00189079569393868	0.00254140273978827	0.0013561646052981	0.000859574692734053
Druze18	0.00176354990345484	0.00239813660210654	0.000954305781146914	0.000628864212189458
Druze19	0.0000822121451116773	0.000233555110935335	0.000280279736716602	0.000177632060209911
Druze20	0.00128254588785387	0.00182430013396107	0.00134079784908382	0.000855267018890772
Druze21	0.00195424030997072	0.00261279102479654	0.000765210441357678	0.000499453333953305
Druze22	0.00304154818148925	0.00385118638992894	0	0
Druze23	0.00169265743927905	0.00230618190822806	0.000940102960761691	0.000626936929016535
Druze24	0.00209309789625145	0.00277773555749814	0.00166448774913975	0.00106471995582919
Druze25	0.00146239956814448	0.00203887899028457	0.000844835258854329	0.00053769376876943
Druze26	0.00207874881698172	0.00276046489247717	0.00113083922700432	0.000716847579484882
Druze27	0.00171220705829886	0.00233257347319964	0.000701074860969281	0.000438132079625848
Druze28	0.00120653790111432	0.00173527935580114	0.00056655463976249	0.000348146099250465
Druze29	0.00153300682334701	0.00212886265462251	0.000743131811726944	0.000496168755891554
Druze30	0.00161453778238628	0.00221552934964795	0.00132422635435445	0.000847952966513043
Druze31	0.00230951091465212	0.00302049995769245	0.00124571511652199	0.000786941011483794
Druze32	0.00156407211752644	0.00215936692012196	0.00121603225628084	0.000773692562279531
Druze33	0.00204617212510044	0.0027193812113519	0.0011106769469022	0.000691825013907764
Druze34	0.00149701600381655	0.00207878564350375	0.00117022951541141	0.000739974957401782
Druze35	0.00233742984690688	0.00305061308950583	0.00116888826346146	0.000729662736786448
Druze36	0.00135508378916159	0.00190413495340561	0.0017187874627756	0.00121536627034704
Druze37	0.0020860385194415	0.00277238852950378	0.00131797487534101	0.000838054141746844
Druze38	0.00252959277301833	0.00327267832089133	0.00122482645442114	0.000790609833121889
Druze39	0.00159061574534113	0.00218662115185448	0.00103628638471933	0.000673315130767526
Druze40	0.00193339165051243	0.00259070052764029	0.00136056789020769	0.000837209572025073
Druze41	0.00203385294761967	0.00270490509126079	0.00124312394182906	0.000818302228882385
Druze42	0.00126378526746672	0.00180569749903896	0.000686517092364253	0.000459291346051964
ESN1	0.00011317872532489	0.000107276140066119	0	0
ESN2	0.000218393229200742	0.000210213806570106	0	0
ESN4	0.00041771599071051	0.000404593009528703	0	0
ESN6	0.0000241772753059614	0.0000214851325498054	0	0
ESN8	0.000258098640464288	0.0002485172217963	0	0
ESN9	0.000450362694764264	0.000437899505491603	0	0
ESN11	0.000121971176540565	0.000116199014100901	0	0
ESN12	0.000831464713315018	0.000813881255657868	0	0
ESN14	0.00093046643045151	0.000911055978893747	0	0
ESN15	0.0000369393760789489	0.0000337580525396928	0	0
ESN20	0.000408182730697848	0.000396008495867517	0	0
ESN22	0.000765272016750517	0.000748000254836024	0	0
ESN23	0.000649553125720795	0.000634773247501482	0	0
ESN25	0.00000338298107637025	0.00000313899983536737	0	0
ESN26	0.000580921456771256	0.000565435030209725	0	0
ESN28	0.000217577970987156	0.000208498690652362	0	0
ESN29	0.000568322791296712	0.000554533386643938	0	0
ESN31	0.000533616814262229	0.00051914914225884	0	0
ESN33	0.0000700443637198862	0.0000654762635732428	0	0
ESN34	0.000519090663793669	0.000505865047142137	0	0
ESN35	0.000273080586078622	0.000263013367846524	0	0
ESN37	0.00000925076408846525	0.00000936457793767315	0.00000151384467068699	0.00000107044983230589
ESN39	0.00150298082482199	0.00148021190926835	0	0
ESN41	0.00113278844835333	0.00111213784706703	0	0
ESN42	0.000270555253319938	0.000260449864277488	0	0
ESN44	0.000781156612868263	0.000763904448265741	0	0
ESN45	0.000286419801770649	0.000276371982378541	0	0
ESN47	0.000501838947826798	0.000488136218244582	0	0
ESN48	0.000466264612030819	0.000453811784086704	0	0
ESN50	0.000447928409087205	0.000434831247151804	0	0
ESN51	0.00027251091192783	0.000263060660815997	0	0
ESN53	0.000164277742176187	0.000157113027768235	0	0
ESN54	0.000324943073246349	0.000313572209971502	0	0
ESN56	0.0000877558443744674	0.0000821849175271467	0	0
ESN57	0.0002656795252004	0.000255911471213903	0	0
ESN59	0.000609072664040559	0.000594642643789805	0	0
ESN60	0.000265028467179722	0.000254756489711524	0	0
ESN62	0.000550360895037458	0.000536421295888106	0	0
ESN63	0.00119480334811346	0.00117386460527984	0	0
ESN65	0.000246272276672232	0.000237362689194146	0	0
ESN66	0.000115690963942083	0.000109641134464219	0	0
ESN68	0.000374516616406764	0.000364371414709988	0	0
ESN69	0.000903789770444845	0.000884752091694394	0	0
ESN71	0.000177838525927837	0.000169775471610364	0	0
ESN73	0.000558429218181426	0.000544179992393822	0	0
ESN75	0.000157026732709774	0.000150308355347297	0	0
ESN76	0.000100581207266419	0.000093990950712962	0	0
ESN78	0.000402060523154219	0.000390435084243738	0	0
ESN79	0.0000684064501496056	0.0000656316250944396	0	0
